Peer,RTT
33-2_RIV3764674125,"[0.083267, 0.083267, 0.065216, 0.07925399999999999, 0.068253, 0.068649, 0.08706699999999999, 0.058334, 0.07077, 0.07077, 0.068741, 0.061264, 0.06852699999999999, 0.060164999999999996, 0.062408, 0.069534, 0.07019, 0.074875, 0.06591799999999999, 0.06591799999999999, 0.062393, 0.05928, 0.07618699999999999, 0.059952, 0.060013, 0.060013, 0.059189, 0.059555, 0.061690999999999996, 0.08969099999999999, 0.070114, 0.070114, 0.063141, 0.058150999999999994, 0.061919999999999996, 0.07083099999999999, 0.061584, 0.061584, 0.080704, 0.0858, 0.065735, 0.061522999999999994, 0.056488, 0.056488, 0.060181, 0.076462, 0.060836999999999995, 0.081055, 0.084381, 0.059113, 0.10618599999999999, 0.079987, 0.079987, 0.075195, 0.08728, 0.072754, 0.073715, 0.057449, 0.057449, 0.059647, 0.07586699999999999, 0.076996, 0.057419, 0.07872, 0.07173199999999999, 0.063461, 0.07249499999999999, 0.060363999999999994, 0.060836999999999995, 0.057921999999999994, 0.057921999999999994, 0.079788, 0.066269, 0.071777, 0.07710299999999999, 0.07431, 0.068268, 0.059433, 0.07942199999999999, 0.073303, 0.06500199999999999, 0.074432, 0.06684899999999999, 0.06378199999999999, 0.063675, 0.08691399999999999, 0.061569, 0.061569, 0.06959499999999999, 0.071655, 0.085251, 0.056488, 0.06974799999999999, 0.06974799999999999, 0.060531999999999996, 0.058258, 0.063232, 0.072998, 0.08737199999999999, 0.074127, 0.060333, 0.07843, 0.07843, 0.080414, 0.059829999999999994, 0.09596299999999999, 0.09765599999999999, 0.09071399999999999, 0.09071399999999999, 0.066666, 0.066772, 0.06622299999999999, 0.08847, 0.09043899999999999, 0.09043899999999999, 0.080276, 0.07801799999999999, 0.116272, 0.135544, 0.104309, 0.09948699999999999, 0.074005, 0.074448, 0.069656, 0.069656, 0.057755, 0.057755, 0.074997, 0.09226999999999999, 0.099838, 0.066177, 0.056381, 0.058884, 0.064667, 0.069366, 0.064529, 0.064529, 0.076599, 0.070114, 0.073105, 0.071182, 0.059081999999999996, 0.07250999999999999, 0.073212, 0.082886, 0.062805, 0.062805, 0.068939, 0.07045, 0.060607999999999995, 0.060607999999999995, 0.06427, 0.057616999999999995, 0.059310999999999996, 0.06654399999999999, 0.06654399999999999, 0.05957, 0.0672, 0.07511899999999999, 0.089584, 0.07664499999999999, 0.119446, 0.08309899999999999, 0.071396, 0.069214, 0.061065999999999995, 0.09375, 0.09375, 0.067215, 0.070099, 0.058227999999999995, 0.06543, 0.080597, 0.080597, 0.060622999999999996, 0.066971, 0.074692, 0.074692, 0.074158, 0.100113, 0.08811999999999999, 0.06347699999999999, 0.08753999999999999, 0.06257599999999999, 0.071228, 0.070724, 0.070724]"
33-2_RIA3339125464,"[0, 0, 0, 0, 0, 0, 0, 0, 0.060378999999999995, 0.060378999999999995, 0.060378999999999995, 0.060378999999999995, 0.08233599999999999, 0.08233599999999999, 0.08233599999999999, 0.08233599999999999, 0.064178, 0.064178, 0.064178, 0.064178, 0.07847599999999999, 0.07847599999999999, 0.07847599999999999, 0.066315, 0.066315, 0.066315, 0.066315, 0.064026, 0.064026, 0.064026, 0.058303999999999995, 0.058303999999999995, 0.058303999999999995, 0.058303999999999995, 0.05835, 0.05835, 0.05835, 0.05835, 0.05835, 0.05835, 0.059937, 0.059937, 0.059937, 0.059937, 0.059937, 0.067123, 0.067123, 0.067123, 0.067123, 0.067123, 0.067123, 0.067123, 0.066498, 0.066498, 0.066498, 0.06311, 0.06311, 0.06311, 0.06311, 0.06311, 0.057708999999999996, 0.057708999999999996, 0.061508, 0.061508, 0.061508, 0.061508, 0.061126999999999994, 0.061126999999999994, 0.061126999999999994, 0.061126999999999994, 0.061126999999999994, 0.07818599999999999, 0.07818599999999999, 0.07818599999999999, 0.07818599999999999, 0.07818599999999999, 0.07818599999999999, 0.058044, 0.058044, 0.058044, 0.058044, 0.058044, 0.058044, 0.07879599999999999, 0.07879599999999999, 0.07879599999999999, 0.07879599999999999, 0.080719, 0.080719, 0.080719, 0.080719, 0.080719, 0.063461, 0.063461, 0.063461, 0.063461, 0.063461, 0.063461, 0.063461, 0.084686, 0.084686, 0.084686, 0.062241, 0.062241, 0.062241, 0.062241, 0.062241, 0.065262, 0.065262, 0.065262, 0.065262, 0.065262, 0.065262, 0.065262, 0.05751, 0.05751, 0.05751, 0.079849, 0.079849, 0.079849, 0.073074, 0.073074, 0.073074, 0.073074, 0.073074, 0.073074, 0.073074, 0.09304799999999999, 0.09304799999999999, 0.09304799999999999, 0.09304799999999999, 0.09304799999999999, 0.09304799999999999, 0.074463, 0.074463, 0.074463, 0.074463, 0.074463, 0.074463, 0.074463, 0.070267, 0.070267, 0.070267, 0.070267, 0.070267, 0.070267, 0.07193, 0.07193, 0.07193, 0.07193, 0.07193, 0.07193, 0.06636, 0.06636, 0.06636, 0.06636, 0.073257, 0.073257, 0.073257, 0.073257, 0.073257, 0.073257, 0.073257, 0.06776399999999999, 0.06776399999999999, 0.06776399999999999, 0.06776399999999999, 0.06776399999999999, 0.06776399999999999, 0.07466099999999999, 0.07466099999999999, 0.07466099999999999, 0.07466099999999999, 0.06369, 0.06369, 0.06369, 0.06369, 0.06369, 0.06369, 0.080658, 0.080658, 0.080658, 0.07282999999999999, 0.07282999999999999, 0.07282999999999999, 0.07282999999999999, 0.07282999999999999]"
33-3_RIV509678288,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.057602, 0.067429, 0.058852999999999996, 0.07006799999999999, 0.06622299999999999, 0.063431, 0.07193, 0.071823, 0.080353, 0.058594, 0.068756, 0.06808499999999999, 0.06869499999999999, 0.08753999999999999, 0.0746, 0.07486, 0.080704, 0.073471, 0.05928, 0.071121, 0.07635499999999999, 0.07740799999999999, 0.07740799999999999, 0.080719, 0.064316, 0.08428999999999999, 0.07160899999999999, 0.07556199999999999, 0.061904999999999995, 0.06623799999999999, 0.06347699999999999, 0.07957499999999999, 0.075394, 0.059586, 0.056808, 0.090561, 0.062271, 0.10913099999999999, 0.057769999999999995, 0.081802, 0.09228499999999999, 0.09228499999999999, 0.10392799999999999, 0.057983, 0.068878, 0.09945699999999999, 0.11923199999999999, 0.067719, 0.088379, 0.079788, 0.061966, 0.057250999999999996, 0.08126799999999999, 0.074753, 0.06716899999999999, 0.069504, 0.06601, 0.08705099999999999, 0.08705099999999999, 0.081879, 0.082184, 0.08735699999999999, 0.08370999999999999, 0.072021, 0.074142, 0.063812, 0.10574299999999999, 0.10574299999999999, 0.096161, 0.09043899999999999, 0.090027, 0.061522999999999994, 0.087021, 0.084274, 0.060225999999999995, 0.060836999999999995, 0.066147, 0.074158, 0.068787, 0.064941, 0.064941, 0.067566, 0.064377, 0.067978, 0.067978, 0.076447, 0.06362899999999999, 0.062592, 0.07254, 0.07254, 0.067368, 0.088043, 0.069077, 0.069077, 0.081451, 0.06823699999999999, 0.068176, 0.08093299999999999, 0.08093299999999999, 0.07327299999999999, 0.061203, 0.07096899999999999, 0.076218, 0.065735, 0.062851, 0.089172, 0.079651, 0.08370999999999999, 0.075668, 0.08309899999999999, 0.084122, 0.084122, 0.08923299999999999, 0.070251, 0.064987, 0.078308, 0.068573, 0.059875, 0.058837999999999994, 0.060883, 0.069687, 0.065979, 0.07692, 0.067017, 0.082352, 0.061751999999999994, 0.061751999999999994]"
33-3_RIA4229868108,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.06732199999999999, 0.06732199999999999, 0.076141, 0.076141, 0.076141, 0.076141, 0.076141, 0.076141, 0.079391, 0.079391, 0.079391, 0.075958, 0.075958, 0.075958, 0.075958, 0.075958, 0.075958, 0.083649, 0.083649, 0.083649, 0.083649, 0.083649, 0.060607999999999995, 0.060607999999999995, 0.060607999999999995, 0.09787, 0.09787, 0.09787, 0.09787, 0.054382, 0.054382, 0.054382, 0.054382, 0.054382, 0.055160999999999995, 0.055160999999999995, 0.055160999999999995, 0.077301, 0.077301, 0.077301, 0.090652, 0.090652, 0.090652, 0.090652, 0.090652, 0.090652, 0.075241, 0.075241, 0.075241, 0.075241, 0.075241, 0.08261099999999999, 0.08261099999999999, 0.08261099999999999, 0.08261099999999999, 0.08261099999999999, 0.08261099999999999, 0.08261099999999999, 0.094635, 0.094635, 0.094635, 0.094635, 0.094635, 0.106262, 0.106262, 0.106262, 0.089798, 0.089798, 0.089798, 0.092606, 0.092606, 0.06300399999999999, 0.06300399999999999, 0.06300399999999999, 0.06300399999999999, 0.062056999999999994, 0.062056999999999994, 0.062056999999999994, 0.062056999999999994, 0.062056999999999994, 0.062056999999999994, 0.062056999999999994, 0.06271399999999999, 0.06271399999999999, 0.06271399999999999, 0.06271399999999999, 0.069672, 0.069672, 0.069672, 0.069672, 0.069122, 0.069122, 0.069122, 0.069122, 0.069122, 0.069122, 0.07127399999999999, 0.07127399999999999, 0.07127399999999999, 0.07127399999999999, 0.07127399999999999, 0.067535, 0.067535, 0.067535, 0.080917, 0.080917, 0.080917, 0.080917, 0.080917, 0.080917, 0.093872, 0.093872, 0.093872, 0.093872, 0.093872, 0.06218, 0.06218, 0.06218, 0.06218, 0.06218, 0.06218, 0.06218, 0.06218, 0.065552]"
33-4_RIA2809996599,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.008057, 0.008057, 0.008057, 0.008057, 0.008057, 0.008057, 0.008057, 0.001282, 0.001282, 0.001282, 0.001282, 0.001862, 0.001862, 0.001862, 0.001862, 0.001862, 0.001862, 0.001862, 0.0015869999999999999, 0.0015869999999999999, 0.0015869999999999999, 0.001648, 0.001648, 0.001648, 0.001648, 0.007858, 0.007858, 0.007858, 0.007858, 0.007858, 0.007858, 0.0019529999999999999, 0.0019529999999999999, 0.0019529999999999999, 0.0019529999999999999, 0.0019529999999999999, 0.0019529999999999999, 0.005142, 0.005142, 0.005142, 0.005142, 0.005356, 0.005356, 0.002335, 0.002335, 0.002335, 0.002335, 0.002335, 0.002335, 0.002335, 0.012711, 0.012711, 0.012711, 0.012711, 0.008301, 0.008301, 0.008301, 0.008301, 0.005905, 0.005905, 0.005905, 0.0036769999999999997, 0.0036769999999999997, 0.0036769999999999997, 0.0036769999999999997, 0.0036769999999999997, 0.0036769999999999997, 0.0036769999999999997, 0.010208]"
33-4_RIV2950944379,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.002502, 0.002411, 0.0020599999999999998, 0.0017239999999999998, 0.0017239999999999998, 0.003159, 0.009734999999999999, 0.0019069999999999998, 0.003235, 0.0010379999999999999, 0.001, 0.0019379999999999998, 0.0019379999999999998, 0.0022429999999999998, 0.002518, 0.001892, 0.001984, 0.001984, 0.001099, 0.001, 0.00116, 0.00116, 0.019042999999999997, 0.0027619999999999997, 0.0044859999999999995, 0.00267, 0.00267, 0.002106, 0.002594, 0.003799, 0.0011899999999999999, 0.0034939999999999997, 0.0034939999999999997, 0.0032199999999999998, 0.005371, 0.00148, 0.00148, 0.003708, 0.0014039999999999999, 0.004456, 0.001923, 0.0018009999999999999, 0.001862, 0.005493, 0.002548, 0.002655, 0.003189, 0.002686, 0.003342, 0.003159, 0.008575, 0.008575, 0.001511, 0.0022129999999999997, 0.0022129999999999997, 0.002258, 0.002258, 0.0028079999999999997, 0.003922, 0.003922, 0.012405, 0.005463, 0.003067, 0.006592, 0.001434, 0.003052, 0.018219, 0.005829, 0.002731]"
32-2_RIV2619692737,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.002823, 0.016846, 0.0038299999999999996, 0.0011899999999999999, 0.0038759999999999997, 0.001694, 0.001694, 0.00116, 0.004928999999999999, 0.0029909999999999997, 0.002289, 0.022140999999999997, 0.006378, 0.001, 0.003815, 0.0012209999999999999, 0.002548, 0.011840999999999999, 0.011840999999999999, 0.001617, 0.003296, 0.0019379999999999998, 0.008224, 0.032089, 0.008072, 0.012711, 0.014724999999999999, 0.006804999999999999, 0.006804999999999999, 0.0031739999999999997, 0.010437, 0.004639, 0.001144, 0.001144, 0.004959, 0.01265, 0.003571, 0.003616, 0.001831, 0.002075, 0.0027619999999999997, 0.0042569999999999995, 0.0042569999999999995, 0.0015559999999999999, 0.001205, 0.0032649999999999997, 0.002228, 0.001, 0.001236, 0.0038599999999999997, 0.00325, 0.0019529999999999999, 0.005463, 0.00296, 0.002533, 0.001, 0.00264, 0.005692, 0.004654, 0.0025629999999999997, 0.00528, 0.00528, 0.004105, 0.016753999999999998, 0.00647, 0.005554, 0.0035399999999999997, 0.004791, 0.00296]"
32-2_RIA657966908,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0071259999999999995, 0.0071259999999999995, 0.0071259999999999995, 0.0071259999999999995, 0.0071259999999999995, 0.0071259999999999995, 0.018387, 0.018387, 0.018387, 0.018387, 0.004501, 0.004501, 0.004501, 0.004501, 0.004501, 0.004501, 0.004501, 0.001312, 0.001312, 0.001312, 0.017273, 0.017273, 0.017273, 0.017273, 0.017273, 0.001236, 0.001236, 0.001236, 0.001236, 0.001236, 0.001236, 0.004654, 0.004654, 0.004654, 0.004654, 0.004654, 0.001297, 0.001297, 0.001297, 0.001297, 0.003342, 0.003342, 0.003342, 0.003342, 0.001312, 0.001312, 0.001312, 0.001312, 0.014419999999999999, 0.014419999999999999, 0.014419999999999999, 0.014419999999999999, 0.014419999999999999, 0.014419999999999999, 0.001648, 0.001648, 0.001648, 0.001648, 0.001648, 0.001648, 0.002289, 0.002289, 0.002289, 0.002289, 0.002289, 0.002289, 0.002289, 0.016159]"
32-3_RIV3256798444,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.083771, 0.083771, 0.089844, 0.079453, 0.095215, 0.092468, 0.059875, 0.059875, 0.079895, 0.064575, 0.06640599999999999, 0.06640599999999999, 0.067337, 0.067337, 0.063812, 0.08154299999999999, 0.064148, 0.064148, 0.065369, 0.062301999999999996, 0.059829999999999994, 0.065521, 0.06532299999999999, 0.06806899999999999, 0.06806899999999999, 0.065201, 0.074127, 0.099655, 0.099655, 0.069717, 0.069717, 0.061172, 0.069016, 0.068268, 0.064285, 0.068314, 0.071365, 0.065201, 0.064346, 0.070297, 0.068115, 0.057892, 0.065109, 0.061980999999999994, 0.067078, 0.066055, 0.07023599999999999, 0.059066999999999995, 0.071198, 0.07449299999999999, 0.085754, 0.064819, 0.068161, 0.06781, 0.05864, 0.069199, 0.069199, 0.072693, 0.07437099999999999, 0.069931, 0.08506799999999999, 0.059128, 0.060867, 0.069702, 0.071411, 0.062362999999999995, 0.113174, 0.085876, 0.07933]"
32-3_RIA2194191898,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.110535, 0.110535, 0.110535, 0.110535, 0.095673, 0.095673, 0.095673, 0.095673, 0.095673, 0.095673, 0.095673, 0.108292, 0.108292, 0.108292, 0.08255, 0.08255, 0.08255, 0.08255, 0.08255, 0.08255, 0.08255, 0.066315, 0.066315, 0.066315, 0.066315, 0.066315, 0.066315, 0.066315, 0.064331, 0.064331, 0.064331, 0.064331, 0.064468, 0.064468, 0.064468, 0.064468, 0.064468, 0.064468, 0.064468, 0.061995999999999996, 0.061995999999999996, 0.061995999999999996, 0.061995999999999996, 0.059844999999999995, 0.059844999999999995, 0.059844999999999995, 0.059844999999999995, 0.056258999999999997, 0.056258999999999997, 0.056258999999999997, 0.067947, 0.067947, 0.067947, 0.067947, 0.079498, 0.079498, 0.079498, 0.06665, 0.06665, 0.06665, 0.06665, 0.073257, 0.073257, 0.073257, 0.068481, 0.068481, 0.068481, 0.068481]"
